"","isic_id","AKIEC","BCC","BKL","MEL","NV","DF","VASC","image_diag_id"
"45","ISIC_0024352",0,0,0,2,2,0,0,"NV"
"46","ISIC_0024353",0,1,0,0,2,0,0,"NV"
"47","ISIC_0024355",0,0,0,2,1,0,0,"NV"
"48","ISIC_0024356",0,0,1,0,2,0,1,"NV"
"49","ISIC_0024357",0,0,0,0,1,0,0,"NV"
"50","ISIC_0024358",0,0,3,4,1,0,0,"BKL"
"51","ISIC_0024359",0,0,0,0,1,0,0,"NV"
"52","ISIC_0024360",0,14,0,0,0,0,0,"BCC"
"53","ISIC_0024361",0,0,0,3,1,0,0,"NV"
"54","ISIC_0024362",0,0,0,1,5,0,0,"NV"
"55","ISIC_0024363",0,0,0,1,3,0,0,"NV"
"56","ISIC_0024364",0,0,1,0,1,0,0,"NV"
"57","ISIC_0024365",0,0,1,0,1,0,0,"NV"
"58","ISIC_0024366",0,0,0,4,0,0,0,"NV"
"59","ISIC_0024367",0,0,1,0,10,0,0,"MEL"
"60","ISIC_0024368",0,0,0,0,3,0,0,"NV"
"61","ISIC_0024369",0,0,0,0,2,0,0,"NV"
"62","ISIC_0024370",0,1,0,0,0,0,41,"VASC"
"63","ISIC_0024371",0,1,1,0,2,0,0,"BKL"
"64","ISIC_0024372",11,8,3,4,0,0,0,"AKIEC"
"65","ISIC_0024373",0,0,0,0,1,0,0,"NV"
"66","ISIC_0024374",0,0,1,0,1,0,0,"NV"
"67","ISIC_0024375",0,0,1,0,0,0,35,"VASC"
"68","ISIC_0024376",0,0,0,0,5,0,0,"NV"
"69","ISIC_0024377",0,0,0,1,2,0,0,"NV"
"70","ISIC_0024378",0,1,0,0,0,0,1,"NV"
"71","ISIC_0024379",0,0,0,0,1,0,0,"NV"
"72","ISIC_0024380",0,0,0,0,2,0,0,"NV"
"73","ISIC_0024381",0,0,6,4,0,0,0,"BKL"
"74","ISIC_0024382",1,1,6,1,0,0,0,"BKL"
"75","ISIC_0024383",0,1,12,0,0,0,0,"BKL"
"76","ISIC_0024384",0,0,0,0,3,0,0,"NV"
"77","ISIC_0024385",0,0,0,0,1,0,0,"NV"
"78","ISIC_0024386",0,0,0,0,1,64,0,"DF"
"79","ISIC_0024387",1,0,0,1,1,0,0,"NV"
"80","ISIC_0024388",0,0,1,1,0,0,0,"NV"
"81","ISIC_0024389",0,0,0,0,4,0,0,"NV"
"82","ISIC_0024390",0,0,1,0,1,0,0,"NV"
"83","ISIC_0024391",0,0,0,0,3,0,1,"NV"
"84","ISIC_0024392",0,0,0,0,1,0,0,"NV"
"85","ISIC_0024393",0,0,0,0,2,0,0,"NV"
"86","ISIC_0024394",0,0,0,0,2,0,0,"NV"
"87","ISIC_0024395",0,0,0,0,2,0,0,"NV"
"88","ISIC_0024396",0,0,0,0,0,75,1,"DF"
"89","ISIC_0024397",0,0,0,0,4,0,0,"NV"
"90","ISIC_0024398",0,0,0,0,1,0,0,"NV"
"91","ISIC_0024399",0,0,0,1,0,0,0,"NV"
"92","ISIC_0024400",2,0,0,13,0,0,0,"MEL"
"93","ISIC_0024401",0,0,0,0,2,0,0,"NV"
"94","ISIC_0024402",0,0,0,0,0,0,39,"VASC"
"95","ISIC_0024403",0,19,0,1,0,0,0,"BCC"
"96","ISIC_0024404",0,0,0,0,2,0,0,"NV"
"97","ISIC_0024405",0,0,0,0,3,0,0,"NV"
"98","ISIC_0024406",0,0,0,4,1,0,0,"NV"
"99","ISIC_0024407",0,0,0,0,3,0,0,"NV"
"100","ISIC_0024408",0,0,15,0,0,0,0,"BKL"
"101","ISIC_0024409",1,0,5,1,1,0,0,"BKL"
"102","ISIC_0024410",0,0,0,5,12,0,0,"MEL"
"103","ISIC_0024411",1,20,0,0,3,0,2,"BCC"
"104","ISIC_0024412",3,0,4,2,6,0,0,"BKL"
"105","ISIC_0024413",0,0,0,0,2,1,0,"NV"
"106","ISIC_0024414",0,0,0,0,1,0,0,"NV"
"107","ISIC_0024415",0,0,0,0,3,0,0,"NV"
"108","ISIC_0024416",0,0,0,0,2,0,0,"NV"
"109","ISIC_0024418",0,0,2,19,9,0,0,"AKIEC"
"110","ISIC_0024419",0,0,0,0,4,0,0,"NV"
"111","ISIC_0024420",0,0,2,3,3,0,0,"BKL"
"112","ISIC_0024421",0,0,0,0,2,0,0,"NV"
"113","ISIC_0024422",0,1,3,0,8,0,0,"BKL"
"114","ISIC_0024423",0,0,0,0,2,0,0,"NV"
"115","ISIC_0024424",0,0,0,0,1,0,0,"NV"
"116","ISIC_0024425",0,0,0,0,1,0,0,"NV"
"117","ISIC_0024426",0,0,7,1,1,0,0,"BKL"
"118","ISIC_0024427",0,0,0,1,0,0,0,"NV"
"119","ISIC_0024428",0,0,0,0,1,0,0,"NV"
"120","ISIC_0024430",0,0,0,0,1,0,0,"NV"
"121","ISIC_0024431",2,10,2,3,1,0,0,"BCC"
"122","ISIC_0024432",0,24,1,1,0,0,0,"BCC"
"123","ISIC_0024433",0,0,0,0,2,0,0,"NV"
"124","ISIC_0024434",0,0,0,0,4,1,0,"NV"
"125","ISIC_0024435",0,0,11,0,4,0,0,"BKL"
"126","ISIC_0024436",0,26,1,0,0,0,0,"BCC"
"127","ISIC_0024437",0,0,1,0,19,0,0,"NV"
"128","ISIC_0024438",0,0,0,0,1,0,0,"NV"
"129","ISIC_0024439",0,0,1,2,3,0,0,"NV"
"130","ISIC_0024440",0,0,0,2,0,1,0,"NV"
"131","ISIC_0024441",0,0,1,1,5,0,0,"NV"
"132","ISIC_0024443",0,26,0,2,0,0,1,"BCC"
"133","ISIC_0024444",0,0,0,0,2,0,0,"NV"
"134","ISIC_0024445",0,0,3,6,4,0,0,"BKL"
"135","ISIC_0024446",3,0,4,0,2,0,0,"BKL"
"136","ISIC_0024447",0,0,0,2,0,0,0,"NV"
"137","ISIC_0024448",0,16,0,0,0,0,0,"BCC"
"138","ISIC_0024449",0,0,0,15,1,0,0,"MEL"
"139","ISIC_0024450",15,5,0,3,0,0,0,"AKIEC"
"140","ISIC_0024451",0,0,0,0,1,0,0,"NV"
"141","ISIC_0024452",0,21,0,0,0,0,0,"BCC"
"142","ISIC_0024453",1,0,7,1,0,0,1,"BKL"
"143","ISIC_0024454",1,18,0,1,0,0,0,"BCC"
"144","ISIC_0024455",0,0,0,1,2,0,0,"NV"
"145","ISIC_0024456",0,0,0,1,3,0,0,"NV"
"146","ISIC_0024457",0,18,1,3,0,0,0,"BCC"
"147","ISIC_0024458",0,0,0,3,3,0,0,"NV"
"148","ISIC_0024459",0,0,1,9,1,0,0,"MEL"
"149","ISIC_0024460",0,0,0,0,1,0,0,"NV"
"150","ISIC_0024461",5,26,0,0,0,0,0,"BCC"
"151","ISIC_0024462",0,0,0,0,2,0,0,"NV"
"152","ISIC_0024463",5,11,4,8,4,0,0,"AKIEC"
"153","ISIC_0024464",0,0,0,0,6,0,0,"NV"
"154","ISIC_0024465",0,0,0,1,4,0,0,"NV"
"155","ISIC_0024466",0,1,0,1,2,0,0,"NV"
"156","ISIC_0024467",0,0,0,0,3,0,0,"NV"
"157","ISIC_0024468",23,6,0,2,0,1,0,"AKIEC"
"158","ISIC_0024469",0,0,0,1,3,0,0,"NV"
"159","ISIC_0024470",15,5,2,4,1,4,0,"AKIEC"
"160","ISIC_0024471",0,0,5,0,1,0,0,"BKL"
"161","ISIC_0024472",0,32,0,1,0,0,0,"BCC"
"162","ISIC_0024473",0,0,0,1,1,0,0,"NV"
"163","ISIC_0024475",0,0,0,0,0,0,46,"VASC"
"164","ISIC_0024476",0,0,2,1,1,0,0,"NV"
"165","ISIC_0024477",1,2,2,2,0,2,0,"BKL"
"166","ISIC_0024478",0,0,0,0,2,0,0,"NV"
"167","ISIC_0024479",0,0,3,0,15,0,0,"NV"
"168","ISIC_0024480",0,0,0,3,0,0,0,"NV"
"169","ISIC_0024481",0,0,5,1,3,1,0,"MEL"
"170","ISIC_0024482",1,0,0,8,0,0,0,"MEL"
"171","ISIC_0024483",0,0,0,0,2,0,0,"NV"
"172","ISIC_0024484",1,0,0,0,6,0,0,"NV"
"173","ISIC_0024485",0,0,1,0,0,0,0,"NV"
"174","ISIC_0024486",0,0,0,0,3,0,0,"NV"
"175","ISIC_0024487",0,0,1,0,3,0,0,"NV"
"176","ISIC_0024488",0,0,0,0,1,0,0,"NV"
"177","ISIC_0024489",2,0,1,3,0,0,0,"BKL"
"178","ISIC_0024490",2,0,8,0,0,0,0,"BKL"
"179","ISIC_0024491",0,0,0,0,2,0,0,"NV"
"180","ISIC_0024492",0,0,0,0,5,0,0,"NV"
"181","ISIC_0024493",1,0,1,1,1,0,0,"NV"
"182","ISIC_0024494",0,0,5,3,2,0,0,"BKL"
"183","ISIC_0024495",0,0,0,2,8,0,0,"BKL"
"184","ISIC_0024496",1,0,0,6,3,0,0,"MEL"
"185","ISIC_0024497",0,0,0,2,3,0,0,"NV"
"186","ISIC_0024498",0,0,9,0,1,0,0,"BKL"
"187","ISIC_0024499",0,0,0,1,1,0,0,"NV"
"188","ISIC_0024500",0,0,0,0,2,0,0,"NV"
"189","ISIC_0024501",0,0,0,0,3,0,0,"NV"
"190","ISIC_0024502",0,0,0,0,1,0,0,"NV"
"191","ISIC_0024503",0,0,0,3,2,0,0,"NV"
"192","ISIC_0024504",1,21,0,0,0,0,1,"BCC"
"193","ISIC_0024505",1,0,5,1,3,0,0,"BKL"
"194","ISIC_0024506",0,0,0,0,2,0,0,"NV"
"195","ISIC_0024507",0,0,0,0,20,0,0,"NV"
"196","ISIC_0024508",0,0,0,0,2,0,0,"NV"
"197","ISIC_0024509",0,0,0,0,2,0,0,"NV"
"198","ISIC_0024510",0,0,0,0,3,0,0,"NV"
"199","ISIC_0024511",10,6,6,2,1,0,0,"AKIEC"
"200","ISIC_0024512",0,0,1,1,1,0,0,"NV"
"201","ISIC_0024513",0,0,1,1,1,0,0,"NV"
"202","ISIC_0024514",0,0,0,1,3,0,0,"NV"
"203","ISIC_0024515",1,2,7,13,1,0,0,"BCC"
"204","ISIC_0024516",0,0,4,5,4,1,0,"MEL"
"205","ISIC_0024517",9,0,3,5,1,1,0,"AKIEC"
"206","ISIC_0024518",0,0,0,2,0,0,0,"NV"
"207","ISIC_0024519",0,0,0,1,14,0,0,"NV"
"208","ISIC_0024520",0,0,0,3,1,0,0,"NV"
"209","ISIC_0024521",0,0,0,0,3,0,0,"NV"
"210","ISIC_0024522",4,4,11,7,5,2,0,"AKIEC"
"211","ISIC_0024523",0,0,0,1,4,0,0,"NV"
"212","ISIC_0024524",0,0,0,3,3,0,0,"NV"
"213","ISIC_0024525",2,1,1,6,1,0,0,"MEL"
"214","ISIC_0024527",0,0,0,1,3,0,0,"NV"
"215","ISIC_0024528",0,0,1,0,3,0,0,"NV"
"216","ISIC_0024529",0,0,0,0,1,0,0,"NV"
"217","ISIC_0024530",0,0,0,0,4,0,0,"NV"
"218","ISIC_0024531",0,0,0,0,3,0,0,"NV"
"219","ISIC_0024532",0,0,0,0,1,0,0,"NV"
"220","ISIC_0024533",0,0,0,0,1,0,0,"NV"
"221","ISIC_0024534",0,0,0,0,2,0,0,"NV"
"222","ISIC_0024535",0,0,0,0,3,0,0,"NV"
"223","ISIC_0024536",0,0,0,2,2,0,0,"NV"
"224","ISIC_0024537",0,0,0,13,0,0,0,"MEL"
"225","ISIC_0024538",0,0,0,3,3,0,0,"NV"
"226","ISIC_0024539",2,3,18,2,0,0,0,"AKIEC"
"227","ISIC_0024540",0,0,1,1,22,0,0,"NV"
"228","ISIC_0024541",0,0,0,1,3,0,0,"NV"
"229","ISIC_0024542",0,0,0,0,2,0,0,"NV"
"230","ISIC_0024543",0,0,0,1,2,0,0,"NV"
"231","ISIC_0024544",0,0,0,0,1,1,0,"NV"
"232","ISIC_0024545",0,0,1,5,0,0,0,"MEL"
"233","ISIC_0024546",4,0,5,2,4,0,0,"MEL"
"234","ISIC_0024547",0,0,1,3,6,1,0,"BKL"
"235","ISIC_0024549",0,0,0,0,2,0,0,"NV"
"236","ISIC_0024550",10,5,0,5,0,5,0,"BCC"
"237","ISIC_0024551",0,0,0,0,1,0,0,"NV"
"238","ISIC_0024552",0,0,3,9,0,0,0,"MEL"
"239","ISIC_0024553",2,0,0,1,0,82,0,"DF"
"240","ISIC_0024554",2,0,11,2,0,1,0,"MEL"
"241","ISIC_0024555",0,1,0,0,1,0,0,"NV"
"242","ISIC_0024556",0,0,0,1,8,0,0,"NV"
"243","ISIC_0024557",0,0,0,0,2,0,0,"NV"
"244","ISIC_0024558",0,0,1,0,1,0,0,"NV"
"245","ISIC_0024559",0,0,0,0,3,0,0,"NV"
"246","ISIC_0024560",0,0,0,2,3,0,0,"NV"
"247","ISIC_0024561",0,0,0,0,1,0,0,"NV"
"248","ISIC_0024562",5,0,7,4,13,1,0,"AKIEC"
"249","ISIC_0024563",0,0,0,1,0,0,0,"NV"
"250","ISIC_0024564",3,17,0,0,0,1,0,"BCC"
"251","ISIC_0024565",0,0,0,0,1,0,0,"NV"
"252","ISIC_0024566",3,0,3,0,1,0,0,"NV"
"253","ISIC_0024567",0,0,0,1,2,0,0,"NV"
"254","ISIC_0024568",0,0,0,0,2,0,0,"NV"
"255","ISIC_0024569",0,0,0,0,2,0,0,"NV"
"256","ISIC_0024570",0,0,0,0,3,0,0,"NV"
"257","ISIC_0024571",6,0,1,5,0,0,0,"MEL"
"258","ISIC_0024572",1,11,0,1,3,0,7,"BCC"
"259","ISIC_0024573",2,20,0,1,0,0,0,"BCC"
"260","ISIC_0024574",0,0,0,0,2,0,0,"NV"
"261","ISIC_0024575",5,3,5,4,1,3,0,"AKIEC"
"262","ISIC_0024576",0,0,0,0,2,0,0,"NV"
"263","ISIC_0024577",0,0,0,2,13,0,0,"NV"
"264","ISIC_0024578",1,0,1,0,1,2,0,"NV"
"265","ISIC_0024579",14,2,6,18,5,1,0,"AKIEC"
"266","ISIC_0024580",0,0,0,0,3,0,0,"NV"
"267","ISIC_0024581",0,0,12,0,1,0,0,"BKL"
"268","ISIC_0024582",2,20,0,2,1,0,0,"BCC"
"269","ISIC_0024583",0,0,0,0,1,0,0,"NV"
"270","ISIC_0024584",0,0,1,0,4,0,0,"NV"
"271","ISIC_0024585",0,0,0,1,0,0,0,"NV"
"272","ISIC_0024586",0,0,3,1,9,0,0,"MEL"
"273","ISIC_0024587",0,0,0,3,2,0,0,"NV"
"274","ISIC_0024588",0,0,0,0,2,0,0,"NV"
"275","ISIC_0024589",0,0,1,1,3,0,0,"NV"
"276","ISIC_0024590",0,24,0,0,1,0,0,"BCC"
"277","ISIC_0024591",0,0,0,0,2,0,0,"NV"
"278","ISIC_0024592",0,0,7,0,1,0,0,"BKL"
"279","ISIC_0024593",0,0,0,0,1,0,0,"NV"
"280","ISIC_0024594",0,0,0,0,3,0,0,"NV"
"281","ISIC_0024595",0,22,3,1,0,0,0,"BCC"
"282","ISIC_0024596",0,0,0,0,1,0,0,"NV"
"283","ISIC_0024597",0,0,0,0,3,0,0,"NV"
"284","ISIC_0024598",0,0,0,0,2,0,0,"NV"
"285","ISIC_0024599",0,0,0,0,1,0,0,"NV"
"286","ISIC_0024600",0,0,0,1,1,0,0,"NV"
"287","ISIC_0024602",1,0,4,2,2,0,0,"BKL"
"288","ISIC_0024603",0,0,0,0,1,0,0,"NV"
"289","ISIC_0024604",0,0,1,0,5,0,0,"NV"
"290","ISIC_0024605",0,0,0,0,3,0,0,"NV"
"291","ISIC_0024606",0,0,0,0,0,2,2,"NV"
"292","ISIC_0024607",0,0,0,0,4,0,0,"NV"
"293","ISIC_0024608",0,0,0,1,1,0,0,"NV"
"294","ISIC_0024609",0,0,0,1,1,0,0,"NV"
"295","ISIC_0024610",0,0,0,0,1,0,0,"NV"
"296","ISIC_0024611",0,0,0,1,2,0,0,"NV"
"297","ISIC_0024612",0,0,0,2,6,0,0,"BKL"
"298","ISIC_0024613",0,0,3,0,0,0,0,"NV"
"299","ISIC_0024614",0,0,0,0,3,0,0,"NV"
"300","ISIC_0024615",0,0,0,1,2,0,0,"NV"
"301","ISIC_0024616",0,0,2,0,1,0,0,"NV"
"302","ISIC_0024617",0,0,0,6,12,0,0,"NV"
"303","ISIC_0024618",0,3,2,0,2,0,0,"NV"
"304","ISIC_0024619",0,0,1,0,0,0,0,"NV"
"305","ISIC_0024620",0,0,0,4,3,0,0,"NV"
"306","ISIC_0024621",0,0,0,0,1,0,0,"NV"
"307","ISIC_0024622",0,0,0,0,1,0,0,"NV"
"308","ISIC_0024623",0,0,9,0,0,1,0,"BKL"
"309","ISIC_0024624",0,0,8,3,1,1,0,"MEL"
"310","ISIC_0024625",0,0,0,0,3,0,0,"NV"
"311","ISIC_0024626",0,0,13,0,0,0,0,"BKL"
"312","ISIC_0024627",0,0,0,0,2,0,0,"NV"
"313","ISIC_0024628",0,0,0,0,3,0,0,"NV"
"314","ISIC_0024630",1,0,0,9,2,0,0,"MEL"
"315","ISIC_0024631",0,0,0,0,1,0,0,"NV"
"316","ISIC_0024632",0,16,2,3,1,0,0,"BCC"
"317","ISIC_0024633",0,0,0,0,3,0,0,"NV"
"318","ISIC_0024634",0,14,0,3,0,0,0,"BCC"
"319","ISIC_0024635",0,1,0,5,1,1,0,"BKL"
"320","ISIC_0024636",0,0,0,0,3,0,0,"NV"
"321","ISIC_0024637",0,0,0,1,3,0,0,"NV"
"322","ISIC_0024638",0,0,0,0,2,0,0,"NV"
"323","ISIC_0024639",0,0,0,0,2,0,0,"NV"
"324","ISIC_0024640",0,0,0,17,0,0,0,"MEL"
"325","ISIC_0024641",0,0,0,0,1,0,0,"NV"
"326","ISIC_0024642",0,0,0,0,2,0,0,"NV"
"327","ISIC_0024643",0,0,14,0,2,1,0,"BKL"
"328","ISIC_0024644",1,3,0,5,0,0,0,"MEL"
"329","ISIC_0024645",0,0,0,0,1,0,0,"NV"
"330","ISIC_0024646",10,0,17,1,1,0,0,"AKIEC"
"331","ISIC_0024647",1,0,4,4,0,0,0,"MEL"
"332","ISIC_0024648",0,0,0,0,3,0,0,"NV"
"333","ISIC_0024649",0,0,0,0,1,0,0,"NV"
"334","ISIC_0024650",0,0,0,0,3,0,0,"NV"
"335","ISIC_0024651",0,0,0,0,3,0,1,"NV"
"336","ISIC_0024652",2,0,4,7,0,0,0,"MEL"
"337","ISIC_0024653",0,0,0,0,2,0,0,"NV"
"338","ISIC_0024654",11,1,16,0,0,1,0,"AKIEC"
"339","ISIC_0024655",0,0,0,0,2,1,0,"NV"
"340","ISIC_0024656",0,0,1,0,5,0,0,"NV"
"341","ISIC_0024657",0,0,2,0,0,0,0,"NV"
"342","ISIC_0024658",0,0,0,1,3,0,0,"NV"
"343","ISIC_0024659",0,0,0,0,1,0,0,"NV"
"344","ISIC_0024660",0,0,0,1,3,0,0,"NV"
"345","ISIC_0024661",0,0,0,0,2,0,0,"NV"
"346","ISIC_0024662",0,0,0,0,0,0,40,"VASC"
"347","ISIC_0024663",0,0,0,0,2,0,0,"NV"
"348","ISIC_0024664",0,0,0,0,2,0,0,"NV"
"349","ISIC_0024665",0,18,0,9,3,0,1,"BCC"
"350","ISIC_0024666",1,23,0,5,0,0,0,"BCC"
"351","ISIC_0024667",0,0,0,1,5,0,0,"NV"
"352","ISIC_0024668",0,0,0,1,4,0,0,"NV"
"353","ISIC_0024669",0,1,0,0,0,1,37,"VASC"
"354","ISIC_0024671",0,0,1,0,2,0,0,"NV"
"355","ISIC_0024672",0,0,1,3,4,0,0,"BKL"
"356","ISIC_0024673",7,11,2,3,0,1,0,"BCC"
"357","ISIC_0024674",1,0,0,2,2,0,0,"NV"
"358","ISIC_0024675",0,0,1,9,7,0,0,"MEL"
"359","ISIC_0024676",3,0,2,1,0,0,0,"BKL"
"360","ISIC_0024677",0,0,0,0,2,0,0,"NV"
"361","ISIC_0024678",0,0,1,0,1,0,0,"NV"
"362","ISIC_0024679",0,0,11,0,1,0,0,"MEL"
"363","ISIC_0024680",0,0,0,0,5,0,0,"NV"
"364","ISIC_0024681",0,0,0,0,2,0,0,"NV"
"365","ISIC_0024682",0,0,0,1,0,0,0,"NV"
"366","ISIC_0024683",0,0,8,1,8,0,0,"NV"
"367","ISIC_0024684",1,0,3,0,0,0,0,"NV"
"368","ISIC_0024685",0,0,0,0,4,0,0,"NV"
"369","ISIC_0024686",0,0,0,0,2,0,0,"NV"
"370","ISIC_0024688",0,0,0,8,2,0,0,"MEL"
"371","ISIC_0024689",0,0,0,0,5,0,0,"NV"
"372","ISIC_0024690",1,0,0,0,1,1,0,"NV"
"373","ISIC_0024691",0,0,0,0,1,0,0,"NV"
"374","ISIC_0024692",0,0,0,1,2,0,0,"NV"
"375","ISIC_0024693",0,0,0,1,0,2,0,"NV"
"376","ISIC_0024694",0,0,0,0,2,0,0,"NV"
"377","ISIC_0024695",0,0,0,0,2,0,0,"NV"
"378","ISIC_0024696",0,0,1,7,0,0,0,"BKL"
"379","ISIC_0024697",0,0,0,3,0,0,0,"NV"
"380","ISIC_0024698",0,0,1,4,14,0,0,"NV"
"381","ISIC_0024699",0,0,0,0,2,1,0,"NV"
"382","ISIC_0024700",1,1,1,13,2,0,0,"MEL"
"383","ISIC_0024701",1,0,2,12,0,0,0,"MEL"
"384","ISIC_0024702",0,1,0,17,0,0,0,"MEL"
"385","ISIC_0024703",0,0,0,0,3,0,0,"NV"
"386","ISIC_0024704",0,0,0,0,1,0,0,"NV"
"387","ISIC_0024705",0,0,11,0,0,0,0,"BKL"
"388","ISIC_0024706",0,0,0,0,0,0,39,"VASC"
"389","ISIC_0024707",8,1,18,0,0,0,0,"AKIEC"
"390","ISIC_0024708",1,0,6,1,2,0,0,"BKL"
"391","ISIC_0024709",5,0,2,1,0,4,0,"BKL"
"392","ISIC_0024710",8,6,0,6,0,0,2,"AKIEC"
"393","ISIC_0024711",0,3,3,2,1,0,0,"BKL"
"394","ISIC_0024712",0,0,2,2,12,0,0,"NV"
"395","ISIC_0024713",0,0,0,0,2,0,0,"NV"
"396","ISIC_0024714",0,0,0,0,1,0,0,"NV"
"397","ISIC_0024715",0,0,0,0,15,1,0,"NV"
"398","ISIC_0024716",0,0,0,1,4,0,0,"NV"
"399","ISIC_0024717",0,0,0,0,2,0,0,"NV"
"400","ISIC_0024718",0,0,0,1,3,0,0,"NV"
"401","ISIC_0024719",0,0,0,1,1,0,0,"NV"
"402","ISIC_0024720",0,0,0,4,0,0,0,"NV"
"403","ISIC_0024721",0,0,0,1,1,0,0,"NV"
"404","ISIC_0024722",0,0,1,0,1,0,0,"NV"
"405","ISIC_0024723",0,1,0,3,1,0,0,"NV"
"406","ISIC_0024724",0,0,0,0,2,0,0,"NV"
"407","ISIC_0024725",0,0,1,0,17,0,0,"NV"
"408","ISIC_0024726",1,0,7,1,2,0,0,"BKL"
"409","ISIC_0024728",0,0,0,0,1,0,0,"NV"
"410","ISIC_0024729",0,0,2,11,0,0,0,"MEL"
"411","ISIC_0024730",0,0,0,0,5,0,0,"NV"
"412","ISIC_0024731",0,0,0,0,2,0,0,"NV"
"413","ISIC_0024732",0,0,0,10,1,0,0,"MEL"
"414","ISIC_0024733",0,6,5,2,1,0,0,"MEL"
"415","ISIC_0024734",0,0,1,9,4,0,0,"NV"
"416","ISIC_0024735",0,0,0,0,2,0,0,"NV"
"417","ISIC_0024736",0,0,0,0,3,0,0,"NV"
"418","ISIC_0024737",0,0,0,0,1,0,0,"NV"
"419","ISIC_0024738",0,0,0,0,3,0,0,"NV"
"420","ISIC_0024739",0,1,5,3,0,0,0,"MEL"
"421","ISIC_0024740",0,1,0,1,5,0,0,"BKL"
"422","ISIC_0024741",5,1,8,0,0,3,0,"BKL"
"423","ISIC_0024742",0,0,0,0,1,0,0,"NV"
"424","ISIC_0024743",4,9,1,4,0,3,0,"BCC"
"425","ISIC_0024744",0,0,0,1,1,0,0,"NV"
"426","ISIC_0024745",0,0,0,1,12,0,0,"NV"
"427","ISIC_0024746",0,0,0,0,2,0,0,"NV"
"428","ISIC_0024747",1,0,0,0,0,0,37,"VASC"
"429","ISIC_0024748",0,0,4,1,3,0,0,"BKL"
"430","ISIC_0024750",0,0,1,0,3,0,0,"NV"
"431","ISIC_0024751",0,0,1,2,2,0,0,"NV"
"432","ISIC_0024752",0,0,1,2,16,0,0,"NV"
"433","ISIC_0024753",0,0,0,0,5,0,0,"NV"
"434","ISIC_0024754",0,0,0,0,3,0,0,"NV"
"435","ISIC_0024755",0,0,0,0,1,0,1,"NV"
"436","ISIC_0024756",4,5,0,4,3,0,0,"MEL"
"437","ISIC_0024757",0,0,3,5,4,0,4,"NV"
"438","ISIC_0024758",1,0,2,2,0,0,0,"BKL"
"439","ISIC_0024759",0,0,0,0,1,0,0,"NV"
"440","ISIC_0024760",0,0,5,0,1,0,0,"BKL"
"441","ISIC_0024761",3,0,6,1,3,0,0,"BKL"
"442","ISIC_0024762",0,0,0,4,13,0,0,"NV"
